,be,bg,ca,cs,en,es,pl,ru,sl,tr,uk,gender
2894,Клінтан Джозеф Дэвісан,Клинтън Дейвисън,Clinton Joseph Davisson,Clinton Joseph Davisson,Clinton Davisson,Clinton Davisson,Clinton Joseph Davisson,Клинтон Джозеф Дэвиссон,Clinton Joseph Davisson,Clinton Davisson,Клінтон Джозеф Девіссон,m
2895,Ганс Кельзен,Ханс Келзен,Hans Kelsen,Hans Kelsen,Hans Kelsen,Hans Kelsen,Hans Kelsen,Ганс Кельзен,Hans Kelsen,Hans Kelsen,Ганс Кельзен,m
2896,Аляксандр Керанскі,Александър Керенски,Aleksandr Kérenski,Alexandr Fjodorovič Kerenskij,Alexander Kerensky,Aleksandr Kérenski,Aleksander Kiereński,Александр Керенский,Aleksander Fjodorovič Kerenski,Aleksandr Kerenski,Олександр Керенський,m
2897,Эвальд фон Клейст,Евалд фон Клайст,Ewald von Kleist,Ewald von Kleist,Paul Ludwig Ewald von Kleist,Ewald von Kleist,Ewald von Kleist,Эвальд фон Клейст,Ewald von Kleist,Paul Ludwig Ewald von Kleist,Евальд фон Кляйст,m
2898,Георг фон Кюхлер,Георг фон Кюхлер,Georg von Küchler,Georg von Küchler,Georg von Küchler,Georg von Küchler,Georg von Küchler,Георг фон Кюхлер,Georg von Küchler,Georg von Küchler,Георг фон Кюхлер,m
2899,Ірвінг Ленгмюр,Ървинг Лангмюр,Irving Langmuir,Irving Langmuir,Irving Langmuir,Irving Langmuir,Irving Langmuir,Ирвинг Ленгмюр,Irving Langmuir,Irving Langmuir,Ірвінг Ленгмюр,m
2900,Лу Сінь,Лю Сюн,Lu Xun,Lu Sün,Lu Xun,Lu Xun,Lu Xun,Лу Синь,Lu Šun,Lu Sin,Лу Сінь,m
2901,Мустафа Кемаль Атацюрк,Мустафа Кемал Ататюрк,Kemal Atatürk,Mustafa Kemal Atatürk,Mustafa Kemal Atatürk,Mustafa Kemal Atatürk,Mustafa Kemal Atatürk,Мустафа Кемаль Ататюрк,Mustafa Kemal Atatürk,Mustafa Kemal Atatürk,Мустафа Кемаль Ататюрк,m
2902,Ота Баўэр,Ото Бауер,Otto Bauer,Otto Bauer,Otto Bauer,Otto Bauer,Otto Bauer,Отто Бауэр,Otto Bauer,Otto Bauer,Отто Бауер,m
2903,Ганна Паўлава,Анна Павлова,Anna Pàvlova,Anna Pavlovová,Anna Pavlova,Anna Pávlova,Anna Pawłowa,Анна Павлова,Ana Pavlova,Anna Pavlova,Анна Павлова,f
2904,Пабла Пікаса,Пабло Пикасо,Pablo Picasso,Pablo Picasso,Pablo Picasso,Pablo Picasso,Pablo Picasso,Пабло Пикассо,Pablo Picasso,Pablo Picasso,Пабло Пікассо,m
2905,Аляксандр Флемінг,Александър Флеминг,Alexander Fleming,Alexander Fleming,Alexander Fleming,Alexander Fleming,Alexander Fleming,Александр Флеминг,Alexander Fleming,Alexander Fleming,Александер Флемінг,m
2906,Хуан Рамон Хіменес,Хуан Рамон Хименес,Juan Ramón Jiménez,Juan Ramón Jiménez,Juan Ramón Jiménez,Juan Ramón Jiménez,Juan Ramón Jiménez,Хуан Рамон Хименес,Juan Ramón Jiménez,Juan Ramón Jiménez,Хуан Рамон Хіменес,m
2907,Стэфан Цвэйг,Стефан Цвайг,Stefan Zweig,Stefan Zweig,Stefan Zweig,Stefan Zweig,Stefan Zweig,Стефан Цвейг,Stefan Zweig,Stefan Zweig,Стефан Цвейг,m
2908,Энвер-паша,Енвер паша,Ismaïl Enver Paixà,Enver Paša,Enver Pasha,Enver Bajá,İsmail Enver,Энвер-паша,İsmail Enver,Enver Paşa,Енвер-паша,m
2909,Джорджэ Энеску,Джордже Енеску,George Enescu,George Enescu,George Enescu,George Enescu,George Enescu,Джордже Энеску,George Enescu,George Enescu,Джордже Енеску,m
2910,Ян XXIII,Йоан XXIII,Joan XXIII,Jan XXIII.,Pope John XXIII,Juan XXIII,Jan XXIII,Иоанн XXIII,Papež Janez XXIII.,XXIII. Ioannes,Іван XXIII,m
2911,Абд аль-Керым,Абд ел-Крим,Muhammad ibn Abd al-Karim al-Khattabi,Muhammad ibn Abd al-Karím al-Chattábí,Abd el-Krim,Abd el-Krim,Abd al-Karim,Абд аль-Крим,Abd El Krim,Abdülkerim Hattabi,Мухаммед ібн Абд аль-Крім аль-Хаттабі,m
2912,Абдала ібн Хусейн,Абдула I,Abd-Al·lah I de Jordània,Abdalláh I.,Abdullah I of Jordan,Abd Allah ibn Husayn,Abd Allah I ibn Husajn,Абдалла ибн Хусейн,Abdulah Ibn Husein,I. Abdullah,Абдалла бін Хусейн,m
2913,Іон Антанеску,Йон Антонеску,Ion Antonescu,Ion Antonescu,Ion Antonescu,Ion Antonescu,Ion Antonescu,Йон Антонеску,Ion Antonescu,Ion Antonescu,Іон Антонеску,m
2914,Макс Борн,Макс Борн,Max Born,Max Born,Max Born,Max Born,Max Born,Макс Борн,Max Born,Max Born,Макс Борн,m
2915,Жорж Брак,Жорж Брак,Georges Braque,Georges Braque,Georges Braque,Georges Braque,Georges Braque,Жорж Брак,Georges Braque,Georges Braque,Жорж Брак,m
2916,Персі Уільямс Брыджмен,Пърси Уилямс Бриджман,Percy Williams Bridgman,Percy Williams Bridgman,Percy Williams Bridgman,Percy Williams Bridgman,Percy Williams Bridgman,Перси Уильямс Бриджмен,Percy Williams Bridgman,Percy Bridgman,Персі Бріджмен,m
2917,Вірджынія Вульф,Вирджиния Улф,Virginia Woolf,Virginia Woolfová,Virginia Woolf,Virginia Woolf,Virginia Woolf,Вирджиния Вулф,Virginia Woolf,Virginia Woolf,Вірджинія Вульф,f
2918,Роберт Годард,Робърт Годард,Robert Hutchings Goddard,Robert Goddard,Robert H. Goddard,Robert Goddard,Robert Goddard,Роберт Годдард,Robert Hutchings Goddard,Robert H. Goddard,Роберт Ґоддард,m
2919,Густаў VI Адольф,Густав VI Адолф,Gustau VI Adolf de Suècia,Gustav VI. Adolf,Gustaf VI Adolf,Gustavo VI Adolfo de Suecia,Gustaw VI Adolf,Густав VI Адольф,Gustav VI. Adolf Švedski,VI. Gustaf Adolf,Густав VI Адольф,m
2920,Джэймс Джойс,Джеймс Джойс,James Joyce,James Joyce,James Joyce,James Joyce,James Joyce,Джеймс Джойс,James Joyce,James Joyce,Джеймс Джойс,m
2921,Георгі Міхайлаў Дзімітроў,Георги Димитров,Gueorgui Dimitrov,Georgi Dimitrov,Georgi Dimitrov,Gueorgui Dimitrov,Georgi Dimitrow,Георгий Димитров,Georgi Dimitrov,Georgi Dimitrov,Георгій Димитров,m
2922,Вільгельм Кейтэль,Вилхелм Кайтел,Wilhelm Keitel,Wilhelm Keitel,Wilhelm Keitel,Wilhelm Keitel,Wilhelm Keitel,Вильгельм Кейтель,Wilhelm Keitel,Wilhelm Keitel,Вільгельм Кейтель,m
2923,Ханс Гюнтэр фон Клюгэ,Гюнтер фон Клуге,Günther von Kluge,Günther von Kluge,Günther von Kluge,Günther von Kluge,Günther von Kluge,Гюнтер фон Клюге,Günther von Kluge,Günther von Kluge,Гюнтер фон Клюге,m
2924,Золтан Кодай,Золтан Кодай,Zoltán Kodály,Zoltán Kodály,Zoltán Kodály,Zoltán Kodály,Zoltán Kodály,Золтан Кодай,Zoltán Kodály,Zoltán Kodály,Золтан Кодай,m
2925,Эмі Нётэр,Еми Ньотер,Emmy Noether,Emmy Noetherová,Emmy Noether,Emmy Noether,Emmy Noether,Эмми Нётер,Emmy Noether,Emmy Noether,Еммі Нетер,f
2926,Франклін Рузвельт,Франклин Делано Рузвелт,Franklin Delano Roosevelt,Franklin Delano Roosevelt,Franklin D. Roosevelt,Franklin D. Roosevelt,Franklin Delano Roosevelt,Франклин Делано Рузвельт,Franklin Delano Roosevelt,Franklin D. Roosevelt,Франклін Делано Рузвельт,m
2927,Ігар Стравінскі,Игор Стравински,Ígor Stravinski,Igor Stravinskij,Igor Stravinsky,Ígor Stravinski,Igor Strawinski,Игорь Стравинский,Igor Stravinski,Igor Stravinsky,Ігор Стравинський,m
2928,Сігрыд Унсет,Сигрид Унсет,Sigrid Undset,Sigrid Undsetová,Sigrid Undset,Sigrid Undset,Sigrid Undset,Сигрид Унсет,Sigrid Undset,Sigrid Undset,Сігрід Унсет,f
2929,Джэймс Франк,Джеймс Франк,James Franck,James Franck,James Franck,James Franck,James Franck,Джеймс Франк,James Franck,James Franck,Джеймс Франк,m
2930,Карней Чукоўскі,Корней Чуковски,Kornei Txukovski,Korněj Čukovskij,Korney Chukovsky,Kornéi Chukovski,Korniej Czukowski,Корней Чуковский,Kornej Ivanovič Čukovski,Korney Çukovski,Корній Чуковський,m
2931,Курт фон Шлейхер,Курт фон Шлайхер,Kurt von Schleicher,Kurt von Schleicher,Kurt von Schleicher,Kurt von Schleicher,Kurt von Schleicher,Курт фон Шлейхер,Kurt von Schleicher,Kurt von Schleicher,Курт фон Шляйхер,m
2932,Караль Шыманоўскі,Карол Шимановски,Karol Szymanowski,Karol Szymanowski,Karol Szymanowski,Karol Szymanowski,Karol Szymanowski,Кароль Шимановский,Karol Szymanowski,Karol Szymanowski,Кароль Шимановський,m
2933,Артур Стэнлі Эдынгтан,Артър Едингтън,Arthur Eddington,Arthur Eddington,Arthur Eddington,Arthur Stanley Eddington,Arthur Stanley Eddington,Артур Эддингтон,Arthur Stanley Eddington,Arthur Stanley Eddington,Артур Еддінгтон,m
2934,Хасэ Артэга-і-Гасет,Хосе Ортега и Гасет,José Ortega y Gasset,José Ortega y Gasset,José Ortega y Gasset,José Ortega y Gasset,José Ortega y Gasset,Хосе Ортега-и-Гассет,José Ortega y Gasset,José Ortega y Gasset,Хосе Ортега-і-Гассет,m
2935,Яганес Бласкавіц,Йоханес Бласковиц,Johannes von Blaskowitz,Johannes Blaskowitz,Johannes Blaskowitz,Johannes Blaskowitz,Johannes Blaskowitz,Йоханнес Бласковиц,Johannes Blaskowitz,Johannes Blaskowitz,Йоганес Бласковіц,m
2936,Сямён Будзённы,Семьон Будьони,Semion Budionni,Semjon Michajlovič Buďonnyj,Semyon Budyonny,Semión Budionni,Siemion Budionny,Семён Будённый,Semjon Mihajlovič Budjoni,Semyon Budyonni,Семен Будьонний,m
2937,Ота Генрых Варбург,Ото Варбург,Otto Heinrich Warburg,Otto Heinrich Warburg,Otto Heinrich Warburg,Otto Heinrich Warburg,Otto Heinrich Warburg,Отто Генрих Варбург,Otto Heinrich Warburg,Otto Heinrich Warburg,Отто Генріх Варбург,m
2938,Яраслаў Гашак,Ярослав Хашек,Jaroslav Hašek,Jaroslav Hašek,Jaroslav Hašek,Jaroslav Hašek,Jaroslav Hašek,Ярослав Гашек,Jaroslav Hašek,Jaroslav Hašek,Ярослав Гашек,m
2939,Віктар Франц Гес,Виктор Франц Хес,Victor Franz Hess,Victor Franz Hess,Victor Francis Hess,Victor Franz Hess,Victor Franz Hess,Виктор Франц Гесс,Victor Franz Hess,Victor Hess,Віктор Франц Гесс,m
2940,Вальтэр Гропіус,Валтер Гропиус,Walter Gropius,Walter Gropius,Walter Gropius,Walter Gropius,Walter Gropius,Вальтер Гропиус,Walter Gropius,Walter Gropius,Вальтер Ґропіус,m
2941,Рыгор Зіноўеў,Григорий Зиновиев,Grigori Zinóviev,Grigorij Zinovjev,Grigory Zinoviev,Grigori Zinóviev,Grigorij Zinowjew,Григорий Зиновьев,Grigorij Jevsejevič Zinovjev,Grigori Zinovyev,Григорій Зінов'єв,m
2942,Леў Каменеў,Лев Борисович Каменев,Lev Kàmenev,Lev Kameněv,Lev Kamenev,Lev Kámenev,Lew Kamieniew,Лев Каменев,Lev Borisovič Kamenjev,Lev Kamenev,Лев Каменєв,m
2943,Франц Кафка,Франц Кафка,Franz Kafka,Franz Kafka,Franz Kafka,Franz Kafka,Franz Kafka,Франц Кафка,Franz Kafka,Franz Kafka,Франц Кафка,m
2944,Джон Мейнард Кейнс,Джон Мейнард Кейнс,John Maynard Keynes,John Maynard Keynes,John Maynard Keynes,John Maynard Keynes,John Maynard Keynes,Джон Мейнард Кейнс,John Maynard Keynes,John Maynard Keynes,Джон Мейнард Кейнс,m
2945,П’ер Лаваль,Пиер Лавал,Pierre Laval,Pierre Laval,Pierre Laval,Pierre Laval,Pierre Laval,Пьер Лаваль,Pierre Laval,Pierre Laval,П'єр Лаваль,m
2946,Беніта Мусаліні,Бенито Мусолини,Benito Mussolini,Benito Mussolini,Benito Mussolini,Benito Mussolini,Benito Mussolini,Бенито Муссолини,Benito Mussolini,Benito Mussolini,Беніто Муссоліні,m
2947,Марыя Ундэр,Мари Ундер,Marie Under,Marie Underová,Marie Under,Marie Under,Marie Under,Марие Ундер,Marie Under,Marie Under,Марія Ундер,f
2948,Како Шанэль,Коко Шанел,Coco Chanel,Coco Chanel,Coco Chanel,Coco Chanel,Coco Chanel,Коко Шанель,Coco Chanel,Coco Chanel,Коко Шанель,f
2949,Клемент Этлі,Клемент Атли,Clement Attlee,Clement Attlee,Clement Attlee,Clement Attlee,Clement Attlee,Клемент Эттли,Clement Attlee,Clement Attlee,Клемент Еттлі,m
2950,Карл Тэадор Ясперс,Карл Ясперс,Karl Jaspers,Karl Jaspers,Karl Jaspers,Karl Jaspers,Karl Jaspers,Карл Ясперс,Karl Jaspers,Karl Jaspers,Карл Ясперс,m
2951,Фрыдрых Бергіус,Фридрих Бергиус,Friedrich Bergius,Friedrich Bergius,Friedrich Bergius,Friedrich Bergius,Friedrich Bergius,Фридрих Бергиус,Friedrich Bergius,Friedrich Bergius,Фрідріх Карл Рудольф Бергіус,m
2952,Макс Брод,Макс Брод,Max Brod,Max Brod,Max Brod,Max Brod,Max Brod,Макс Брод,Max Brod,Max Brod,Макс Брод,m
2953,Эдуар Даладзье,Едуар Даладие,Édouard Daladier,Édouard Daladier,Édouard Daladier,Édouard Daladier,Édouard Daladier,Эдуар Даладье,Édouard Daladier,Édouard Daladier,Едуар Даладьє,m
2954,Петэр Іозеф Вільгельм Дэбай,Петер Дебай,Peter Debye,Peter Debye,Peter Debye,Peter Debye,Peter Debye,Петер Дебай,Peter Joseph William Debye,Peter Debye,Петер Дебай,m
2955,Ісмет Інёню,Исмет Иньоню,İsmet İnönü,İsmet İnönü,İsmet İnönü,İsmet İnönü,İsmet İnönü,Исмет Инёню,İsmet Inönü,İsmet İnönü,Ісмет Іненю,m
2956,Амедэо Мадыльяні,Амедео Модиляни,Amedeo Modigliani,Amedeo Modigliani,Amedeo Modigliani,Amedeo Modigliani,Amedeo Modigliani,Амедео Модильяни,Amedeo Modigliani,Amedeo Modigliani,Амедео Модільяні,m
2957,Браніслаў Маліноўскі,Бронислав Малиновски,Bronisław Malinowski,Bronisław Malinowski,Bronisław Malinowski,Bronisław Malinowski,Bronisław Malinowski,Бронислав Каспар Малиновский,Bronisław Malinowski,Bronisław Malinowski,Броніслав Каспер Маліновський,m
2958,Ота Меергоф,Ото Майерхоф,Otto Fritz Meyerhof,Otto Fritz Meyerhof,Otto Fritz Meyerhof,Otto Fritz Meyerhof,Otto Meyerhof,Отто Мейергоф,Otto Fritz Meyerhof,Otto Fritz Meyerhof,Отто Меєргоф,m
2959,Элеанора Рузвельт,Елинор Рузвелт,Eleanor Roosevelt,Eleanor Rooseveltová,Eleanor Roosevelt,Eleanor Roosevelt,Eleanor Roosevelt,Элеонора Рузвельт,Eleanor Roosevelt,Eleanor Roosevelt,Елеонора Рузвельт,f
2960,Эдвард Сэйпір,Едуард Сапир,Edward Sapir,Edward Sapir,Edward Sapir,Edward Sapir,Edward Sapir,Эдуард Сепир,Edward Sapir,Edward Sapir,Едвард Сепір,m
2961,Гары Трумэн,Хари С. Труман,Harry Truman,Harry S. Truman,Harry S. Truman,Harry S. Truman,Harry Truman,Гарри Трумэн,Harry S. Truman,Harry S. Truman,Гаррі Трумен,m
2962,Казімір Функ,Кажимеж Функ,Casimir Funk,Kazimierz Funk,Casimir Funk,Casimir Funk,Kazimierz Funk,Казимеж Функ,Kazimierz Funk,Kazimierz Funk,Казимир Функ,m
2963,Хідэкі Тадзё,Хидеки Тоджо,Hideki Tojo,Hideki Tódžó,Hideki Tojo,Hideki Tōjō,Hideki Tōjō,Хидэки Тодзио,Hideki Todžo,Hideki Tōjō,Тодзьо Хідекі,m
2964,Нільс Бор,Нилс Бор,Niels Bohr,Niels Bohr,Niels Bohr,Niels Bohr,Niels Bohr,Нильс Бор,Niels Henrik David Bohr,Niels Bohr,Нільс Бор,m
2965,Герман Вейль,Херман Вайл,Hermann Weyl,Hermann Weyl,Hermann Weyl,Hermann Weyl,Hermann Weyl,Герман Вейль,Hermann Weyl,Hermann Weyl,Герман Вейль,m
2966,Герман Гот,Херман Хот,Hermann Hoth,Hermann Hoth,Hermann Hoth,Hermann Hoth,Hermann Hoth,Герман Гот,Hermann Hoth,Hermann Hoth,Герман Гот,m
2967,Альберт Кесельрынг,Алберт Кеселринг,Albert Kesselring,Albert Kesselring,Albert Kesselring,Albert Kesselring,Albert Kesselring,Альберт Кессельринг,Albert Kesselring,Albert Kesselring,Альберт Кессельрінг,m
2968,Дзьёрдзь Лукач,Дьорд Лукач,György Lukács,György Lukács,György Lukács,Georg Lukács,György Lukács,Дьёрдь Лукач,György Lukács,Georg Lukács,Дьйордь Лукач,m
2969,Сінклер Льюіс,Синклер Луис,Sinclair Lewis,Sinclair Lewis,Sinclair Lewis,Sinclair Lewis,Sinclair Lewis,Синклер Льюис,Sinclair Lewis,Sinclair Lewis,Сінклер Льюїс,m
2970,Джордж Сміт Патан,Джордж Патън,George Patton,George S. Patton,George S. Patton,George Patton,George Patton,Джордж Смит Паттон,George Smith Patton mlajši,George S. Patton,Джордж Сміт Паттон,m
2971,Эзра Паўнд,Езра Паунд,Ezra Pound,Ezra Pound,Ezra Pound,Ezra Pound,Ezra Pound,Эзра Паунд,Ezra Pound,Ezra Pound,Езра Паунд,m
2972,Міхаіл Фрунзэ,Михаил Фрунзе,Mikhaïl Frunze,Michail Frunze,Mikhail Frunze,Mijaíl Frunze,Michaił Frunze,Михаил Фрунзе,Mihail Frunze,Mihail Frunze,Михайло Фрунзе,m
2973,Дзьёрдзь дэ Хевешы,Дьорд де Хевеши,George de Hevesy,George de Hevesy,George de Hevesy,George Hevesy,György von Hevesy,Дьёрдь де Хевеши,George Charles de Hevesy,George de Hevesy,Дьєрдь де Гевеші,m
2974,Карэн Хорні,Карен Хорни,Karen Horney,Karen Horneyová,Karen Horney,Karen Horney,Karen Horney,Карен Хорни,Karen Horney,Karen Horney,Карен Горні,f
2975,Гуга Шперле,Хуго Шперле,Hugo Sperrle,Hugo Sperrle,Hugo Sperrle,Hugo Sperrle,Hugo Sperrle,Хуго Шперле,Hugo Sperrle,Hugo Sperrle,Гуго Шперрле,m
2976,Альфонса XIII,Алфонсо XIII,Alfons XIII d'Espanya,Alfons XIII.,Alfonso XIII,Alfonso XIII de España,Alfons XIII,Альфонсо XIII,Alfonz XIII. Španski,XIII. Alfonso,Альфонсо XIII,m
2977,Давід Бен-Гурыён,Давид Бен-Гурион,David Ben-Gurion,David Ben Gurion,David Ben-Gurion,David Ben-Gurión,Dawid Ben Gurion,Давид Бен-Гурион,David Ben-Gurion,David Ben-Gurion,Давид Бен-Ґуріон,m
2978,Марк Блок,Марк Блок,Marc Bloch,Marc Bloch,Marc Bloch,Marc Bloch,Marc Bloch,Марк Блок,Marc Bloch,Marc Bloch,Марк Блок,m
2979,Готфрыд Бэн,Готфрид Бен,Gottfried Benn,Gottfried Benn,Gottfried Benn,Gottfried Benn,Gottfried Benn,Готфрид Бенн,Gottfried Benn,Gottfried Benn,Ґотфрід Бенн,m
2980,Оскар Какошка,Оскар Кокошка,Oskar Kokoschka,Oskar Kokoschka,Oskar Kokoschka,Oskar Kokoschka,Oskar Kokoschka,Оскар Кокошка,Oskar Kokoschka,Oskar Kokoschka,Оскар Кокошка,m
2981,Роберт Робінсан,Робърт Робинсън,Robert Robinson,Robert Robinson,Robert Robinson,Robert Robinson,Robert Robinson,Роберт Робинсон,Robert Robinson,Robert Robinson,Роберт Робінсон,m
2982,Людвіг Міс ван дэр Роэ,Лудвиг Мис ван дер Рое,Ludwig Mies van der Rohe,Ludwig Mies van der Rohe,Ludwig Mies van der Rohe,Ludwig Mies van der Rohe,Ludwig Mies van der Rohe,Людвиг Мис ван дер Роэ,Ludwig Mies van der Rohe,Ludwig Mies van der Rohe,Людвіг Міс ван дер Рое,m
2983,Эдвард Рыдз-Сміглы,Едвард Ридз-Шмигли,Edward Smigly-Rydz,Edward Śmigły-Rydz,Edward Rydz-Śmigły,Edward Rydz-Śmigły,Edward Śmigły-Rydz,Эдвард Рыдз-Смиглы,Eduard Śmigly-Rydz,Edward Rydz-Śmigły,Едвард Ридз-Сміглий,m
2984,Карл Манэ Георг Сігбан,Мане Сигбан,Manne Siegbahn,Manne Siegbahn,Manne Siegbahn,Manne Siegbahn,Manne Siegbahn,Карл Манне Георг Сигбан,Karl Manne Georg Siegbahn,Manne Siegbahn,Манне Сігбан,m
2985,Карл фон Фрыш,Карл фон Фриш,Karl von Frisch,Karl von Frisch,Karl von Frisch,Karl von Frisch,Karl von Frisch,Карл фон Фриш,Karl von Frisch,Karl von Frisch,Карл Фріш,m
2986,Рут Бенедыкт,Рут Бенедикт,Ruth Benedict,Ruth Benedictová,Ruth Benedict,Ruth Benedict,Ruth Benedict,Рут Бенедикт,Ruth Benedict,Ruth Benedict,Рут Бенедикт,f
2987,Надзя Буланжэ,Надя Буланже,Nadia Boulanger,Nadia Boulangerová,Nadia Boulanger,Nadia Boulanger,Nadia Boulanger,Надя Буланже,Nadia Boulanger,Nadia Boulanger,Надія Буланже,f
2988,Мікалай Вавілаў,Николай Вавилов,Nikolai Vavílov,Nikolaj Vavilov,Nikolai Vavilov,Nikolái Vavílov,Nikołaj Wawiłow,Николай Вавилов,Nikolaj Ivanovič Vavilov,Nikolay Vavilov,Микола Вавилов,m
2989,Эйтор Віла-Лобас,Ейтор Вила-Лобос,Heitor Villa-Lobos,Heitor Villa-Lobos,Heitor Villa-Lobos,Heitor Villa-Lobos,Heitor Villa-Lobos,Эйтор Вила-Лобос,Heitor Villa-Lobos,Heitor Villa-Lobos,Ейтор Вілла-Лобос,m
2990,Маркус Гарві,Маркъс Гарви,Marcus Garvey,Marcus Garvey,Marcus Garvey,Marcus Garvey,Marcus Garvey,Маркус Гарви,Marcus Mosiah Garvey,Marcus Garvey,Маркус Гарві,m
2991,Карлас Гардэль,Карлос Гардел,Carlos Gardel,Carlos Gardel,Carlos Gardel,Carlos Gardel,Carlos Gardel,Карлос Гардель,Carlos Gardel,Carlos Gardel,Карлос Гардель,m
2992,Ёзэф Гарпэ,Йозеф Харпе,Josef Harpe,Josef Harpe,Josef Harpe,Josef Harpe,Josef Harpe,Йозеф Харпе,Josef Harpe,Josef Harpe,Йозеф Гарпе,m
2993,Густаў Людвіг Герц,Густав Лудвиг Херц,Gustav Ludwig Hertz,Gustav Ludwig Hertz,Gustav Ludwig Hertz,Gustav Hertz,Gustav Ludwig Hertz,Густав Людвиг Герц,Gustav Ludwig Hertz,Gustav Hertz,Густав Людвіг Герц,m
2994,Джавані Гронкі,Джовани Гронки,Giovanni Gronchi,Giovanni Gronchi,Giovanni Gronchi,Giovanni Gronchi,Giovanni Gronchi,Джованни Гронки,Giovanni Gronchi,Giovanni Gronchi,Джованні Гронкі,m
2995,Хуан Грыс,Хуан Грис,Juan Gris,Juan Gris,Juan Gris,Juan Gris,Juan Gris,Хуан Грис,Juan Gris,Juan Gris,Хуан Ґріс,m
2996,Марсель Дзюшан,Марсел Дюшан,Marcel Duchamp,Marcel Duchamp,Marcel Duchamp,Marcel Duchamp,Marcel Duchamp,Марсель Дюшан,Marcel Duchamp,Marcel Duchamp,Марсель Дюшан,m
2997,Вільгельм Канарыс,Вилхелм Канарис,Wilhelm Canaris,Wilhelm Canaris,Wilhelm Canaris,Wilhelm Canaris,Wilhelm Canaris,Вильгельм Канарис,Wilhelm Canaris,Wilhelm Canaris,Вільгельм Канаріс,m
2998,Ле Карбюзье,Льо Корбюзие,Le Corbusier,Le Corbusier,Le Corbusier,Le Corbusier,Le Corbusier,Ле Корбюзье,Le Corbusier,Le Corbusier,Ле Корбюзьє,m
2999,Карл I Габсбург,Карл I,Carles I d'Àustria i IV d'Hongria,Karel I.,Charles I of Austria,Carlos I de Austria y IV de Hungría,Karol I Habsburg,Карл I,Karel I. Habsburško-Lotarinški,I. Karl,Карл I,m
3000,Рэнэ Касэн,Рене Касен,René Cassin,René Cassin,René Cassin,René Cassin,René Cassin,Рене Кассен,René Cassin,René Cassin,Рене Кассен,m
3001,Відкун Квіслінг,Видкун Квислинг,Vidkun Quisling,Vidkun Quisling,Vidkun Quisling,Vidkun Quisling,Vidkun Quisling,Видкун Квислинг,Vidkun Quisling,Vidkun Quisling,Відкун Квіслінг,m
3002,Людвіг Шверын фон Крозіг,Луц Шверин фон Крозиг,Lutz Schwerin von Krosigk,Lutz Schwerin von Krosigk,Lutz Graf Schwerin von Krosigk,Lutz Schwerin von Krosigk,Johann Ludwig Graf Schwerin von Krosigk,Людвиг Шверин фон Крозиг,Johann Ludwig Schwerin von Krosigk,Ludwig Schwerin von Krosigk,Людвіг Шверін фон Крозіг,m
3003,Бернард Лоу Мантгомеры,Бърнард Монтгомъри,Bernard Law Montgomery,Bernard Montgomery,Bernard Montgomery,Bernard Law Montgomery,Bernard Law Montgomery,Бернард Лоу Монтгомери,Bernard Montgomery,Bernard Montgomery,Бернард Монтгомері,m
3004,Эрых фон Манштэйн,Ерих фон Манщайн,Erich von Manstein,Erich von Manstein,Erich von Manstein,Erich von Manstein,Erich von Manstein,Эрих фон Манштейн,Erich von Manstein,Erich von Manstein,Еріх фон Манштейн,m
3005,Джорджыя О’Кіф,Джорджия О‘Киф,Georgia O'Keeffe,Georgia O'Keeffe,Georgia O'Keeffe,Georgia O'Keeffe,Georgia O’Keeffe,Джорджия О’Кифф,Georgia Totto O'Keefe,Georgia O'Keeffe,Джорджія О'Кіф,f
3006,Срыніваса Рамануджан,Сриниваса Рамануджан,Srinivasa Ramanujan,Šrínivása Rámanudžan,Srinivasa Ramanujan,Srinivasa Ramanujan,Srinivasa Ramanujan,Сриниваса Рамануджан,Srinivasa Ajangar Ramanudžan,Srinivasa Aiyangar Ramanujan,Срініваса Рамануджан,m
3007,Георг Тракль,Георг Тракъл,Georg Trakl,Georg Trakl,Georg Trakl,Georg Trakl,Georg Trakl,Георг Тракль,Georg Trakl,Georg Trakl,Георг Тракль,m
3008,Генрых фон Фіцінгхоф,Хайнрих фон Фитингоф,Heinrich von Vietinghoff,Heinrich von Vietinghoff,Heinrich von Vietinghoff,Heinrich von Vietinghoff,Heinrich von Vietinghoff,Генрих фон Фитингхоф,Heinrich von Vietinghoff,Heinrich von Vietinghoff,Генріх фон Фітингоф,m
3009,Чан Кайшы,Чан Кайшъ,Chiang Kai-shek,Čankajšek,Chiang Kai-shek,Chiang Kai-shek,Czang Kaj-szek,Чан Кайши,Čjang Kajšek,Çan Kay Şek,Чан Кайші,m
3010,Марк Шагал,Марк Шагал,Marc Chagall,Marc Chagall,Marc Chagall,Marc Chagall,Marc Chagall,Марк Шагал,Marc Chagall,Marc Chagall,Марк Шагал,m
3011,Курт Швітэрс,Курт Швитерс,Kurt Schwitters,Kurt Schwitters,Kurt Schwitters,Kurt Schwitters,Kurt Schwitters,Курт Швиттерс,Kurt Schwitters,Kurt Schwitters,Курт Швіттерс,m
3012,Эрвін Шродзінгер,Ервин Шрьодингер,Erwin Schrödinger,Erwin Schrödinger,Erwin Schrödinger,Erwin Schrödinger,Erwin Schrödinger,Эрвин Шрёдингер,Erwin Schrödinger,Erwin Schrödinger,Ервін Шредінгер,m
